nco_1digit,major_group,description
1,Managers,Legislators senior officials and managers
2,Professionals,Professionals
3,Technicians,Technicians and associate professionals
4,Clerical,Clerical support workers
5,Service,Service workers and shop and market sales workers
6,Agricultural,Skilled agricultural forestry and fishery workers
7,Craft,Craft and related trades workers
8,Operators,Plant and machine operators and assemblers
9,Elementary,Elementary occupations
0,Armed forces,Armed forces occupations
